time	accelX	accelY	accelZ
0.0	-0.04349338667884497	0.15143129424172516	0.10702029902579069
0.005	-0.011152597747362561	0.24890057739704252	0.0636595413919744
0.01	0.032943975523671704	0.11418189161704083	0.06770948631673915
0.015	-0.0037784315562078563	0.06832826751284751	0.010006212744751136
0.02	-0.013071713372227036	0.18666399703475986	0.09498326384034786
0.025	-0.016209153628763264	0.1669783210993712	0.04815089121756838
0.03	0.026062053864334404	0.19377666715125963	0.10102624390201885
0.035	0.001573385620525775	0.21453361334457868	0.10947315801920514
0.04	0.02257467640803213	0.18604656297751804	0.05610098850562364
0.045	-0.013392565358819771	0.15978375965270192	0.14813022887398442
0.05	0.011942438540253737	0.1821687726304132	0.07737674538326392
0.055	0.03372206123925538	0.10338585754279786	0.16311144278679082
0.06	0.048033203828402996	0.08267827708278415	0.11146910728254002
0.065	0.004030039200384913	0.18254965795079245	0.0836760588802067
0.07	0.012013071446630653	0.12667610219824818	0.09315036774424013
0.075	0.06415545806035958	0.18300029231081893	0.15767890196063272
0.08	0.005605684182249392	0.21249492919654736	0.09803346760696266
0.085	-0.06576579437480123	0.22643640667433773	0.12449191059651163
0.09	-0.0033954868938674138	0.2234957907210178	0.1938248597072474
0.095	-0.007039699682015808	0.1726219642651754	0.0685534416449992
0.1	-0.04532222889982999	0.09848053937638833	0.20752969119791254
0.105	0.09810768182907562	0.17772090742987334	0.14001596478981576
0.11	-0.04274232686645717	0.16946759211317258	0.08478201416765799
0.115	0.16390633286996079	0.22006453086458516	0.1009537653443072
0.12	0.034082411953157685	0.20738859318740538	0.09779791342170935
0.125	0.03704280290047348	0.17289627588880824	0.0956854301959385
0.13	0.0329996949434696	0.11953620839022962	0.026399105627178537
0.135	0.044855460100479944	0.21148371382376707	0.17711363902905292
0.14	-0.02991741189749532	0.16832242267811903	0.11008888422017356
0.145	0.1779677858728889	0.17947626579464077	0.13711377280528142
0.15	0.12265582181647863	0.24574726732746566	0.024997506959528473
0.155	-0.00738739682748199	0.17791840102416473	0.09052544389766728
0.16	0.09448945589517889	0.1738648813627725	0.10928531416869436
0.165	0.12476021115417726	0.19674587137908317	0.22751085247133015
0.17	0.07854712817070869	0.2985716473428156	0.09358614714506479
0.17500000000000002	0.11437736674485652	0.2550513743145319	0.15010013553606502
0.18	-0.011504927570301166	0.20431474284776813	0.07940534876210671
0.185	0.0726699304528796	0.2641254913010869	0.17794548899583157
0.19	0.17463425032914126	0.17156939293340986	0.16305159230542637
0.195	0.07923802463139502	0.23244559522836597	0.15871074278402733
0.2	0.1152434913488711	0.1654051301618731	0.20506692075612362
0.20500000000000002	0.09631393445913083	0.17926942174843297	0.21785665714225824
0.21	0.019120845443912404	0.16168068799864888	0.06303973812134744
0.215	0.01003080705382052	0.2230027902754517	0.2361587718105274
0.22	0.03871921331178852	0.283370681369368	0.09214387049854689
0.225	0.012600956705574942	0.19392616343801464	0.14152132755347957
0.23	0.06810173598208949	0.22846938059219582	0.1655189312249838
0.23500000000000001	0.086596662311538	0.22906116742612506	0.09571938114520072
0.24	0.09322877722055957	0.23601419237383572	0.2583213444140507
0.245	0.10063336850091394	0.30064018338454324	0.21883189018189053
0.25	0.11403543332267407	0.20586809467426678	0.17442372146279225
0.255	0.036611583383181344	0.10609346619455101	0.14621961312940177
0.26	-0.006560713996863143	0.23981519609027732	0.16342200404556134
0.265	0.09772394482010316	0.19229195680295336	0.06566043327117066
0.27	0.14084229673165538	0.21443400740529733	0.19891804681726338
0.275	0.07269905714763757	0.144513116631545	0.16756927719535666
